payout_id,deal_id,creator_handle,amount_usd,paid_date
PAY-901,BD-2606-01,fx_delta,28762.50,2026-07-04
PAY-902,BD-2606-02,fx_aurora,37012.50,2026-07-04
PAY-903,BD-2606-02,fx_aurora,24675,2026-07-04
PAY-904,BD-2606-03,fx_lumen,13975,2026-07-03
PAY-905,BD-2606-04,fx_delta,65975,2026-07-09
PAY-906,BD-2606-05,fx_juniper,9787.50,2026-07-09
PAY-907,BD-2606-05,fx_juniper,6525,2026-07-02
PAY-908,BD-2606-06,fx_basalt,34860,2026-07-04
PAY-909,BD-2606-06,fx_basalt,23240,2026-07-01
PAY-910,BD-2606-07,fx_krill,40387.50,2026-07-04
PAY-911,BD-2606-07,fx_krill,26925,2026-07-11
PAY-912,BD-2606-08,fx_garnet,28275,2026-07-13
PAY-913,BD-2606-09,fx_garnet,47287.50,2026-07-05
PAY-914,BD-2606-10,fx_basalt,22100,2026-07-14
PAY-915,BD-2606-11,fx_delta,48937.50,2026-07-10
PAY-916,BD-2606-12,fx_basalt,49000,2026-07-04
PAY-917,BD-2606-13,fx_harbor,64575,2026-07-07
PAY-918,BD-2606-14,fx_krill,31525,2026-07-08
PAY-918,BD-2606-14,fx_krill,31525,2026-07-08
PAY-919,BD-2606-15,fx_ember,43750,2026-07-13
PAY-920,BD-2606-16,fx_harbor,61750,2026-07-12
PAY-921,BD-2606-17,fx_juniper,8550,2026-07-11
PAY-922,BD-2606-17,fx_juniper,5700,2026-07-12
PAY-923,BD-2606-18,fx_harbor,10012.50,2026-07-07
PAY-924,BD-2606-18,fx_harbor,6675,2026-07-08
PAY-925,BD-2606-19,fx_lumen,7897.50,2026-07-10
PAY-926,BD-2606-19,fx_lumen,5265,2026-07-05
PAY-927,BD-2606-20,fx_garnet,25187.50,2026-07-06
PAY-928,BD-2606-21,fx_basalt,43087.50,2026-07-12
PAY-929,BD-2606-21,fx_basalt,28725,2026-07-02
PAY-930,BD-2606-22,fx_indigo,14525,2026-07-11
PAY-931,BD-2606-23,fx_krill,57200,2026-07-01
PAY-932,BD-2606-24,fx_basalt,18585,2026-07-05
PAY-933,BD-2606-24,fx_basalt,12390,2026-07-04
PAY-934,BD-2606-25,fx_cinder,39585,2026-07-03
PAY-935,BD-2606-25,fx_cinder,26390,2026-07-02
PAY-936,BD-2606-26,fx_flint,12224.70,2026-07-12
PAY-937,BD-2606-26,fx_flint,8149.80,2026-07-14
PAY-938,BD-2606-27,fx_lumen,9870,2026-07-13
PAY-939,BD-2606-27,fx_lumen,6580,2026-07-11
