deal_id,brand,creator_handle,amount_usd,close_date,stage,owner_rep,creator_split_pct
BD-2606-01,Cascade Skincare,fx_delta,44250,2026-06-18,Closed Won,rep_alvarez,65
BD-2606-02,Lumen Audio,fx_aurora,82250,2026-06-08,Closed Won,rep_dubois,75
BD-2606-03,Vela Cosmetics,fx_lumen,21500,2026-06-22,Closed Won,rep_brooks,65
BD-2606-04,Copperleaf Home,fx_delta,94250,2026-06-16,Closed Won,rep_dubois,70
BD-2606-05,Vela Cosmetics,fx_juniper,21750,2026-06-01,Closed Won,rep_chen,75
BD-2606-06,Fernwood Outdoors,fx_basalt,83000,2026-06-02,Closed Won,rep_alvarez,70
BD-2606-07,Atlas Gaming,fx_krill,89750,2026-06-11,Closed Won,rep_chen,75
BD-2606-08,Meridian Travel,fx_garnet,43500,2026-06-02,Closed Won,rep_chen,65
BD-2606-09,Atlas Gaming,fx_garnet,72750,2026-06-17,Closed Won,rep_brooks,65
BD-2606-10,Nimbus Athletics,fx_basalt,34000,2026-06-18,Closed Won,rep_alvarez,65
BD-2606-11,Meridian Travel,fx_delta,65250,2026-06-25,Closed Won,rep_alvarez,75
BD-2606-12,Orbit Snacks,fx_basalt,70000,2026-06-26,Closed Won,rep_alvarez,70
BD-2606-13,Cascade Skincare,fx_harbor,92250,2026-06-03,Closed Won,rep_alvarez,70
BD-2606-14,Nimbus Athletics,fx_krill,48500,2026-06-26,Closed Won,rep_alvarez,65
BD-2606-15,Bluebird Software,fx_ember,62500,2026-06-26,Closed Won,rep_dubois,70
BD-2606-16,Fernwood Outdoors,fx_harbor,95000,2026-06-23,Closed Won,rep_alvarez,65
BD-2606-17,Copperleaf Home,fx_juniper,19000,2026-06-17,Closed Won,rep_alvarez,75
BD-2606-18,Cascade Skincare,fx_harbor,22250,2026-06-19,Closed Won,rep_brooks,75
BD-2606-19,Solstice Beverages,fx_lumen,20250,2026-06-26,Closed Won,rep_dubois,65
BD-2606-20,Truepath Finance,fx_garnet,38750,2026-06-03,Closed Won,rep_chen,65
BD-2606-21,Nimbus Athletics,fx_basalt,95750,2026-06-02,Closed Won,rep_alvarez,75
BD-2606-22,Meridian Travel,fx_indigo,20750,2026-06-26,Closed Won,rep_chen,70
BD-2606-23,Orbit Snacks,fx_krill,88000,2026-06-24,Closed Won,rep_dubois,65
BD-2606-24,Nimbus Athletics,fx_basalt,44250,2026-06-15,Closed Won,rep_brooks,70
BD-2606-25,Vela Cosmetics,fx_cinder,94250,2026-06-17,Closed Won,rep_dubois,70
BD-2606-26,Atlas Gaming,fx_flint,28250,2026-06-17,Closed Won,rep_alvarez,75
BD-2606-27,Copperleaf Home,fx_lumen,23500,2026-06-01,Closed Won,rep_brooks,70
