Ticket_ID,Date,Category,Submitted_By,Assigned_To,Handle_Minutes,Status
TCK-1001,2026-01-02,Thumbnail re-upload,creator_avaloncreates,Ops Support,25,Closed
TCK-1002,2026-01-02,Tax form (W-9/W-8),creator_brightpixel,Ops Support,50,Closed
TCK-1003,2026-01-03,Login issue,creator_chartedwaters,Ops Support,15,Closed
TCK-1004,2026-01-03,Thumbnail re-upload,creator_dunemotion,Ops Support,20,Closed
TCK-1005,2026-01-05,Payout question,creator_emberlite,Ops Support,55,Closed
TCK-1006,2026-01-05,Tax form (W-9/W-8),creator_foxglovestudio,Ops Support,45,Closed
TCK-1007,2026-01-06,Thumbnail re-upload,creator_glasscanyon,Ops Support,25,Closed
TCK-1008,2026-01-06,Thumbnail re-upload,creator_harborlight,Ops Support,20,Closed
TCK-1009,2026-01-07,Tax form (W-9/W-8),creator_ivoryreef,Ops Support,45,Closed
TCK-1010,2026-01-07,Login issue,creator_junipertrail,Ops Support,10,Closed
TCK-1011,2026-01-08,Thumbnail re-upload,creator_kelpforest,Ops Support,25,Closed
TCK-1012,2026-01-08,Payout question,creator_lanternbay,Ops Support,50,Closed
TCK-1013,2026-01-09,Tax form (W-9/W-8),creator_moonlitpath,,45,Closed
TCK-1014,2026-01-09,Thumbnail re-upload,creator_northstarvideo,Ops Support,20,Closed
TCK-1015,2026-01-12,Thumbnail re-upload,creator_oakhollow,Ops Support,25,Closed
TCK-1016,2026-01-12,Account access,creator_pinegrove,Ops Support,25,Closed
TCK-1017,2026-01-13,Tax form (W-9/W-8),creator_quietharbor,Ops Support,40,Closed
TCK-1018,2026-01-13,Thumbnail re-upload,creator_riverstone,Ops Support,20,Closed
TCK-1019,2026-01-14,Payout question,creator_silvercrest,Ops Support,45,Closed
TCK-1020,2026-01-14,Thumbnail re-upload,creator_tidalwave,Ops Support,25,Closed
TCK-1021,2026-01-15,Tax form (W-9/W-8),creator_umberglow,Ops Support,50,Closed
TCK-1022,2026-01-15,Login issue,creator_violetdusk,Ops Support,10,Closed
TCK-1023,2026-01-16,Thumbnail re-upload,creator_wildfern,Ops Support,20,Closed
TCK-1024,2026-01-16,Thumbnail re-upload,creator_xanaduclips,Ops Support,25,Closed
TCK-1025,2026-01-19,Tax form (W-9/W-8),creator_yellowpine,Ops Support,45,Closed
TCK-1026,2026-01-19,Payout question,creator_zephyrmedia,Ops Support,45,Closed
TCK-1027,2026-01-20,Thumbnail re-upload,creator_amberfield,Ops Support,20,Closed
TCK-1028,2026-01-20,Thumbnail re-upload,creator_brookside,Ops Support,25,Closed
TCK-1029,2026-01-21,Tax form (W-9/W-8),creator_cedarpoint,Ops Support,45,Closed
TCK-1030,2026-01-21,Content takedown,creator_driftwood,Ops Support,40,Closed
TCK-1031,2026-01-22,Thumbnail re-upload,creator_everglade,Ops Support,20,Closed
TCK-1032,2026-01-22,Login issue,creator_frostpeak,Ops Support,10,Closed
TCK-1033,2026-01-23,Tax form (W-9/W-8),creator_goldleaf,Ops Support,50,Closed
TCK-1034,2026-01-23,Thumbnail re-upload,creator_hazelwood,Ops Support,25,Closed
TCK-1035,2026-01-26,Payout question,creator_indigosky,Ops Support,45,Closed
TCK-1036,2026-01-26,Thumbnail re-upload,creator_jadecoast,Ops Support,20,Closed
TCK-1037,2026-01-27,Tax form (W-9/W-8),creator_larkspur,Ops Support,45,Closed
TCK-1038,2026-01-27,Thumbnail re-upload,creator_mistralwind,,25,Closed
TCK-1039,2026-01-28,Account access,creator_nightowl,Ops Support,20,Closed
TCK-1040,2026-01-28,Thumbnail re-upload,creator_opalbeach,Ops Support,25,Closed
TCK-1041,2026-01-29,Tax form (W-9/W-8),creator_pebblecreek,Ops Support,40,Closed
TCK-1042,2026-01-29,Thumbnail re-upload,creator_quillfeather,Ops Support,20,Closed
TCK-1043,2026-01-30,Payout question,creator_redwoodway,Ops Support,50,Closed
TCK-1044,2026-01-30,Thumbnail re-upload,creator_sanddollar,Ops Support,25,Closed
TCK-1045,2026-02-02,Tax form (W-9/W-8),creator_thornbush,Ops Support,45,Closed
TCK-1046,2026-02-02,Thumbnail re-upload,creator_underbrush,Ops Support,20,Closed
TCK-1047,2026-02-03,Login issue,creator_vellichor,Ops Support,10,Closed
TCK-1048,2026-02-03,Thumbnail re-upload,creator_windrose,Ops Support,25,Closed
TCK-1049,2026-02-04,Tax form (W-9/W-8),creator_xeriscape,Ops Support,50,Closed
TCK-1050,2026-02-04,Payout question,creator_yarrowmeadow,Ops Support,55,Closed
TCK-1051,2026-02-05,Thumbnail re-upload,creator_zinniagarden,Ops Support,20,Closed
TCK-1052,2026-02-05,Thumbnail re-upload,creator_ashgrove,Ops Support,25,Closed
TCK-1053,2026-02-06,Tax form (W-9/W-8),creator_birchbark,Ops Support,45,Closed
TCK-1054,2026-02-06,Content takedown,creator_coralcove,Ops Support,45,Closed
TCK-1055,2026-02-09,Thumbnail re-upload,creator_dewdrop,Ops Support,20,Closed
TCK-1056,2026-02-09,Login issue,creator_elmstreet,Ops Support,10,Closed
TCK-1057,2026-02-10,Tax form (W-9/W-8),creator_fernvalley,Ops Support,45,Closed
TCK-1058,2026-02-10,Thumbnail re-upload,creator_gravelpit,Ops Support,25,Closed
TCK-1059,2026-02-11,Payout question,creator_hollowtree,Ops Support,50,Closed
TCK-1060,2026-02-11,Thumbnail re-upload,creator_islandbreeze,Ops Support,20,Closed
TCK-1061,2026-02-12,Tax form (W-9/W-8),creator_jettystone,Ops Support,45,Closed
TCK-1062,2026-02-12,Thumbnail re-upload,creator_kingfisher,Ops Support,25,Closed
TCK-1063,2026-02-13,Account access,creator_lighthouse,Ops Support,25,Closed
TCK-1064,2026-02-13,Thumbnail re-upload,creator_maplesyrup,Ops Support,20,Closed
TCK-1065,2026-02-16,Tax form (W-9/W-8),creator_nettlepatch,Ops Support,50,Closed
TCK-1066,2026-02-16,Thumbnail re-upload,creator_oysterbay,Ops Support,25,Closed
TCK-1067,2026-02-17,Payout question,creator_pondscum,Ops Support,55,Closed
TCK-1068,2026-02-17,Thumbnail re-upload,creator_quartzridge,,20,Closed
TCK-1069,2026-02-18,Tax form (W-9/W-8),creator_rushreed,Ops Support,45,Closed
TCK-1070,2026-02-18,Login issue,creator_seafoam,Ops Support,10,Closed
TCK-1071,2026-02-19,Thumbnail re-upload,creator_tumbleweed,Ops Support,20,Closed
TCK-1072,2026-02-19,Thumbnail re-upload,creator_underpass,Ops Support,25,Closed
