deal_id,brand,amount_usd,invoice_ids,payout_total_usd,evidence
BD-2606-01,Cascade Skincare,44250,INV-401,28762.50,SYNTHETIC_crm_deals_2026-06.csv:2;SYNTHETIC_invoices_2026-06.csv:2;SYNTHETIC_payouts_2026-06.csv:2
BD-2606-02,Lumen Audio,82250,INV-402,61687.50,SYNTHETIC_crm_deals_2026-06.csv:3;SYNTHETIC_invoices_2026-06.csv:3;SYNTHETIC_payouts_2026-06.csv:3;SYNTHETIC_payouts_2026-06.csv:4
BD-2606-04,Copperleaf Home,94250,INV-404,65975,SYNTHETIC_crm_deals_2026-06.csv:5;SYNTHETIC_invoices_2026-06.csv:5;SYNTHETIC_payouts_2026-06.csv:6
BD-2606-05,Vela Cosmetics,21750,INV-405,16312.50,SYNTHETIC_crm_deals_2026-06.csv:6;SYNTHETIC_invoices_2026-06.csv:6;SYNTHETIC_payouts_2026-06.csv:7;SYNTHETIC_payouts_2026-06.csv:8
BD-2606-06,Fernwood Outdoors,83000,INV-406,58100,SYNTHETIC_crm_deals_2026-06.csv:7;SYNTHETIC_invoices_2026-06.csv:7;SYNTHETIC_payouts_2026-06.csv:9;SYNTHETIC_payouts_2026-06.csv:10
BD-2606-10,Nimbus Athletics,34000,INV-409,22100,SYNTHETIC_crm_deals_2026-06.csv:11;SYNTHETIC_invoices_2026-06.csv:10;SYNTHETIC_payouts_2026-06.csv:15
BD-2606-12,Orbit Snacks,70000,INV-411,49000,SYNTHETIC_crm_deals_2026-06.csv:13;SYNTHETIC_invoices_2026-06.csv:12;SYNTHETIC_payouts_2026-06.csv:17
BD-2606-13,Cascade Skincare,92250,INV-412,64575,SYNTHETIC_crm_deals_2026-06.csv:14;SYNTHETIC_invoices_2026-06.csv:13;SYNTHETIC_payouts_2026-06.csv:18
BD-2606-15,Bluebird Software,62500,INV-414,43750,SYNTHETIC_crm_deals_2026-06.csv:16;SYNTHETIC_invoices_2026-06.csv:15;SYNTHETIC_payouts_2026-06.csv:21
BD-2606-16,Fernwood Outdoors,95000,INV-415,61750,SYNTHETIC_crm_deals_2026-06.csv:17;SYNTHETIC_invoices_2026-06.csv:16;SYNTHETIC_payouts_2026-06.csv:22
BD-2606-17,Copperleaf Home,19000,INV-416,14250,SYNTHETIC_crm_deals_2026-06.csv:18;SYNTHETIC_invoices_2026-06.csv:17;SYNTHETIC_payouts_2026-06.csv:23;SYNTHETIC_payouts_2026-06.csv:24
BD-2606-18,Cascade Skincare,22250,INV-417,16687.50,SYNTHETIC_crm_deals_2026-06.csv:19;SYNTHETIC_invoices_2026-06.csv:18;SYNTHETIC_payouts_2026-06.csv:25;SYNTHETIC_payouts_2026-06.csv:26
BD-2606-19,Solstice Beverages,20250,INV-418,13162.50,SYNTHETIC_crm_deals_2026-06.csv:20;SYNTHETIC_invoices_2026-06.csv:19;SYNTHETIC_payouts_2026-06.csv:27;SYNTHETIC_payouts_2026-06.csv:28
BD-2606-20,Truepath Finance,38750,INV-419,25187.50,SYNTHETIC_crm_deals_2026-06.csv:21;SYNTHETIC_invoices_2026-06.csv:20;SYNTHETIC_payouts_2026-06.csv:29
BD-2606-21,Nimbus Athletics,95750,INV-420,71812.50,SYNTHETIC_crm_deals_2026-06.csv:22;SYNTHETIC_invoices_2026-06.csv:21;SYNTHETIC_payouts_2026-06.csv:30;SYNTHETIC_payouts_2026-06.csv:31
BD-2606-22,Meridian Travel,20750,INV-421,14525,SYNTHETIC_crm_deals_2026-06.csv:23;SYNTHETIC_invoices_2026-06.csv:22;SYNTHETIC_payouts_2026-06.csv:32
BD-2606-23,Orbit Snacks,88000,INV-422,57200,SYNTHETIC_crm_deals_2026-06.csv:24;SYNTHETIC_invoices_2026-06.csv:23;SYNTHETIC_payouts_2026-06.csv:33
BD-2606-24,Nimbus Athletics,44250,INV-423,30975,SYNTHETIC_crm_deals_2026-06.csv:25;SYNTHETIC_invoices_2026-06.csv:24;SYNTHETIC_payouts_2026-06.csv:34;SYNTHETIC_payouts_2026-06.csv:35
BD-2606-25,Vela Cosmetics,94250,INV-424,65975,SYNTHETIC_crm_deals_2026-06.csv:26;SYNTHETIC_invoices_2026-06.csv:25;SYNTHETIC_payouts_2026-06.csv:36;SYNTHETIC_payouts_2026-06.csv:37
BD-2606-27,Copperleaf Home,23500,INV-426,16450,SYNTHETIC_crm_deals_2026-06.csv:28;SYNTHETIC_invoices_2026-06.csv:27;SYNTHETIC_payouts_2026-06.csv:40;SYNTHETIC_payouts_2026-06.csv:41
